Rank,Category Label,Avg EV,Samples,Min EV,Max EV,Variant,Total_Cumulative_Samples
1,NATURAL_ROYAL,4000.0,4,4000.0,4000.0,BONUS_DEUCES_10_4,10012
2,4_DEUCES_ACE,2000.0,4,2000.0,2000.0,BONUS_DEUCES_10_4,10012
3,4_DEUCES,1085.10638,4,1085.10638,1085.10638,BONUS_DEUCES_10_4,10012
4,FIVE_ACES,400.0,4,400.0,400.0,BONUS_DEUCES_10_4,10012
5,FIVE_3_4_5,200.0,4,200.0,200.0,BONUS_DEUCES_10_4,10012
6,WILD_ROYAL,125.0,4,125.0,125.0,BONUS_DEUCES_10_4,10012
7,FIVE_6_TO_K,100.0,4,100.0,100.0,BONUS_DEUCES_10_4,10012
8,4_ROYAL,98.38906,7,97.97872,99.25532,BONUS_DEUCES_10_4,10012
9,3_DEUCES,81.51783,13,80.02775,97.23404,BONUS_DEUCES_10_4,10012
10,JUNK_LOW,32.88754,7,26.80851,35.31915,BONUS_DEUCES_10_4,10012
11,2_DEUCES,18.62542,404,15.38822,52.34043,BONUS_DEUCES_10_4,10012
12,PAT_FLUSH_OR_STR_FLUSH,18.5,40,15.0,50,BONUS_DEUCES_10_4,10012
13,1_DEUCE_3_ROYAL,17.42908,24,16.80851,18.19149,BONUS_DEUCES_10_4,10012
14,3_ACES,12.12303,16,12.12303,12.12303,BONUS_DEUCES_10_4,10012
15,1_DEUCE_3_SF_CONN,11.04746,13,10.10638,11.2766,BONUS_DEUCES_10_4,10012
16,3_KIND,10.30813,1121,9.34783,52.34043,BONUS_DEUCES_10_4,10012
17,3_3_4_5,10.2729,37,10.2729,10.2729,BONUS_DEUCES_10_4,10012
18,1_DEUCE_3_SF_GAP,9.49981,57,9.04255,10.21277,BONUS_DEUCES_10_4,10012
19,4_STR_FLUSH_CONN,8.93617,2,8.93617,8.93617,BONUS_DEUCES_10_4,10012
20,PAT_STRAIGHT_OR_FULL_HOUSE,8.125,128,5.0,15.0,BONUS_DEUCES_10_4,10012
21,3_ROYAL,6.65209,137,6.37835,7.15541,BONUS_DEUCES_10_4,10012
22,4_STR_FLUSH_GAP,5.66409,33,3.82979,7.87234,BONUS_DEUCES_10_4,10012
23,1_DEUCE_2_ROYAL,5.32398,338,4.88899,5.98057,BONUS_DEUCES_10_4,10012
24,1_DEUCE_2_SF_CONN,4.87955,73,4.78723,4.93987,BONUS_DEUCES_10_4,10012
25,1_DEUCE_3_FLUSH,4.87421,148,4.78723,8.08511,BONUS_DEUCES_10_4,10012
26,1_DEUCE_GENERIC,4.73429,1192,4.68119,4.78286,BONUS_DEUCES_10_4,10012
27,4_FLUSH,3.82979,193,3.82979,3.82979,BONUS_DEUCES_10_4,10012
28,1_PAIR,2.70549,3170,2.64231,3.01788,BONUS_DEUCES_10_4,10012
29,3_STR_FLUSH_CONN,2.42368,30,2.10453,2.53006,BONUS_DEUCES_10_4,10012
30,3_STR_FLUSH_GAP,2.0468,166,1.91952,2.24329,BONUS_DEUCES_10_4,10012
31,3_FLUSH,1.66711,14,1.65125,1.66975,BONUS_DEUCES_10_4,10012
32,2_ROYAL,1.56203,479,1.46438,1.74561,BONUS_DEUCES_10_4,10012
33,DISCARD_ALL,1.4702,2154,1.4492,1.49358,BONUS_DEUCES_10_4,10012
