Rank,Category Label,Avg EV,Samples,Min EV,Max EV,Variant,Total_Cumulative_Samples
1,NATURAL_ROYAL,4000.0,1,4000.0,4000.0,AIRPORT,10000
2,4_DEUCES,1000.0,1,1000.0,1000.0,AIRPORT,10000
3,WILD_ROYAL,100.0,3,100.0,100.0,AIRPORT,10000
4,4_ROYAL,96.56915,4,96.48936,96.80851,AIRPORT,10000
5,3_DEUCES,75.25524,11,75.13414,75.46716,AIRPORT,10000
6,FIVE_6_TO_K,60.0,1,60.0,60.0,AIRPORT,10000
7,FIVE_3_4_5,60.0,1,60.0,60.0,AIRPORT,10000
8,PAT_FLUSH_OR_STR_FLUSH,29.16667,42,15.0,100.0,AIRPORT,10000
9,2_DEUCES,19.37968,388,15.91489,25.85106,AIRPORT,10000
10,1_DEUCE_3_SF_CONN,19.32052,31,17.23404,20.0,AIRPORT,10000
11,1_DEUCE_3_ROYAL,16.50512,27,14.89362,20.0,AIRPORT,10000
12,1_DEUCE_3_SF_GAP,15.97138,84,14.89362,17.55319,AIRPORT,10000
13,4_STR_FLUSH_CONN,13.46809,10,12.34043,13.61702,AIRPORT,10000
14,1_DEUCE_3_FLUSH,12.61525,12,12.44681,12.65957,AIRPORT,10000
15,PAT_STRAIGHT_OR_FULL_HOUSE,12.35294,187,10.0,20.0,AIRPORT,10000
16,3_KIND,9.61352,1106,9.25532,23.40426,AIRPORT,10000
17,3_ACES,9.25532,8,9.25532,9.25532,AIRPORT,10000
18,3_3_4_5,9.25532,50,9.25532,9.25532,AIRPORT,10000
19,4_STR_FLUSH_GAP,6.66667,27,3.82979,12.34043,AIRPORT,10000
20,1_DEUCE_2_SF_CONN,6.63454,212,5.36078,7.24329,AIRPORT,10000
21,3_ROYAL,6.57846,129,6.19796,7.59482,AIRPORT,10000
22,1_DEUCE_2_SF_GAP,6.21313,208,5.32377,6.53099,AIRPORT,10000
23,1_DEUCE_2_ROYAL,6.045,185,4.86586,7.24329,AIRPORT,10000
24,1_DEUCE_2_FLUSH,5.53431,234,4.95375,5.81869,AIRPORT,10000
25,1_DEUCE_GENERIC,5.23899,881,4.771,6.218,AIRPORT,10000
26,4_FLUSH,3.82979,191,3.82979,3.82979,AIRPORT,10000
27,3_STR_FLUSH_CONN,3.70854,56,3.09436,3.96392,AIRPORT,10000
28,2_PAIR,3.40426,391,3.40426,3.40426,AIRPORT,10000
29,3_STR_FLUSH_GAP,2.95644,307,2.70583,3.37188,AIRPORT,10000
30,1_PAIR,2.70922,2641,2.70922,2.70922,AIRPORT,10000
31,4_STRAIGHT_OPEN,2.38298,140,1.70213,2.55319,AIRPORT,10000
32,3_FLUSH,2.18548,16,2.15079,2.18779,AIRPORT,10000
33,JUNK_HIGH_CARDS,1.9805,203,1.573,23.40426,AIRPORT,10000
34,JUNK_LOW,1.82542,501,1.498,23.40426,AIRPORT,10000
35,2_ROYAL,1.82435,295,1.535,2.11594,AIRPORT,10000
36,DISCARD_ALL,1.66117,1425,1.50033,2.25433,AIRPORT,10000
