Rank,Category Label,Avg EV,Samples,Min EV,Max EV,Variant,Total_Cumulative_Samples
1,NATURAL_ROYAL,4000.0,1,4000,4000,BONUS_DEUCES,10100
2,4_DEUCES_ACE,2000.0,1,2000,2000,BONUS_DEUCES,10100
3,4_DEUCES,1085.10638,1,1085.10638,1085.10638,BONUS_DEUCES,10100
4,FIVE_ACES,400.0,1,400,400,BONUS_DEUCES,10100
5,PAT_5_OAK,100.0,1,100,100,BONUS_DEUCES,10100
6,3_DEUCES,75.79172,18,72.53546,125.0,BONUS_DEUCES,10100
7,4_ROYAL,42.21669,3,14.03846,98.29787,BONUS_DEUCES,10100
8,PAT_5_OAK_OR_WILD_ROYAL,33.63636,11,15.0,100.0,BONUS_DEUCES,10100
9,1_DEUCE_3_ROYAL,23.79382,20,23.13725,25.6,BONUS_DEUCES,10100
10,PAT_FLUSH_OR_STR_FLUSH,20.5,20,15.0,125,BONUS_DEUCES,10100
11,2_DEUCES,18.54393,415,14.21122,29.79592,BONUS_DEUCES,10100
12,1_DEUCE_3_SF_CONN,10.80138,12,10.0,11.32653,BONUS_DEUCES,10100
13,3_KIND,10.74001,1103,9.45578,31.2,BONUS_DEUCES,10100
14,PAT_STRAIGHT_OR_FULL_HOUSE,10.18181,165,5.0,125.0,BONUS_DEUCES,10100
15,1_DEUCE_3_SF_GAP,9.4941,72,8.95833,10.40816,BONUS_DEUCES,10100
16,4_STR_FLUSH_CONN,8.92274,5,8.75,9.3,BONUS_DEUCES,10100
17,1_DEUCE_2_ROYAL,6.78055,368,4.96762,7.53827,BONUS_DEUCES,10100
18,1_DEUCE_3_FLUSH,5.00416,192,4.6875,8.22917,BONUS_DEUCES,10100
19,4_STR_FLUSH_GAP,4.96381,30,3.75,8.3,BONUS_DEUCES,10100
20,1_DEUCE_2_SF_CONN,4.88039,62,4.68112,5.1906,BONUS_DEUCES,10100
21,1_DEUCE_2_SF_GAP,4.77436,48,4.62041,4.90248,BONUS_DEUCES,10100
22,1_DEUCE_GENERIC,4.67907,1119,4.51856,4.91588,BONUS_DEUCES,10100
23,3_ROYAL,4.22788,88,3.8914,6.41536,BONUS_DEUCES,10100
24,4_FLUSH,4.20215,242,3.75,6.83673,BONUS_DEUCES,10100
25,2_PAIR,3.93326,397,3.33333,4.70588,BONUS_DEUCES,10100
26,1_PAIR,3.06253,2846,2.57143,3.73969,BONUS_DEUCES,10100
27,3_STR_FLUSH_CONN,2.35948,37,1.96854,2.69558,BONUS_DEUCES,10100
28,3_STR_FLUSH_GAP,2.03274,189,1.79847,2.43197,BONUS_DEUCES,10100
29,3_FLUSH,1.71129,18,1.6449,1.78635,BONUS_DEUCES,10100
30,2_ROYAL,1.68082,759,1.47227,1.94502,BONUS_DEUCES,10100
31,JUNK_LOW,1.50814,443,1.38934,26.80851,BONUS_DEUCES,10100
32,JUNK_HIGH_CARDS,1.45638,250,1.42312,1.51791,BONUS_DEUCES,10100
33,DISCARD_ALL,1.433,1174,1.36343,1.50039,BONUS_DEUCES,10100
