Rank,Category Label,Avg EV,Samples,Min EV,Max EV,Variant,Total_Cumulative_Samples
1,4_DEUCES,1000.0,2,1000.0,1000.0,BONUS_DEUCES,10100
2,FIVE_ACES,100.0,1,100.0,100.0,BONUS_DEUCES,10100
3,PAT_5_OAK,100.0,1,100.0,100.0,BONUS_DEUCES,10100
4,3_DEUCES,75.79172,18,72.53546,125.0,BONUS_DEUCES,10100
5,NATURAL_ROYAL,50.0,1,50.0,50.0,BONUS_DEUCES,10100
6,PAT_5_OAK_OR_WILD_ROYAL,33.63636,11,15.0,100.0,BONUS_DEUCES,10100
7,1_DEUCE_3_ROYAL,23.79382,20,23.13725,25.6,BONUS_DEUCES,10100
8,PAT_FLUSH_OR_STR_FLUSH,21.90476,21,15.0,125.0,BONUS_DEUCES,10100
9,2_DEUCES,18.57667,416,14.21122,29.79592,BONUS_DEUCES,10100
10,4_ROYAL,14.1761,2,14.03846,14.31373,BONUS_DEUCES,10100
11,1_DEUCE_3_SF_CONN,10.80138,12,10.0,11.32653,BONUS_DEUCES,10100
12,3_KIND,10.74173,1112,9.45578,31.2,BONUS_DEUCES,10100
13,PAT_STRAIGHT_OR_FULL_HOUSE,10.11764,170,5.0,125.0,BONUS_DEUCES,10100
14,1_DEUCE_3_SF_GAP,9.50249,73,8.95833,10.40816,BONUS_DEUCES,10100
15,4_STR_FLUSH_CONN,8.92274,5,8.75,9.3,BONUS_DEUCES,10100
16,1_DEUCE_2_ROYAL,6.807,365,6.29804,7.53827,BONUS_DEUCES,10100
17,1_DEUCE_3_FLUSH,5.0053,191,4.6875,8.22917,BONUS_DEUCES,10100
18,4_STR_FLUSH_GAP,4.96381,30,3.75,8.3,BONUS_DEUCES,10100
19,1_DEUCE_2_SF_CONN,4.87842,63,4.68112,5.1906,BONUS_DEUCES,10100
20,1_DEUCE_2_SF_GAP,4.77589,49,4.62041,4.90248,BONUS_DEUCES,10100
21,1_DEUCE_GENERIC,4.67829,1115,4.51856,4.91588,BONUS_DEUCES,10100
22,4_FLUSH,4.20225,246,3.75,6.83673,BONUS_DEUCES,10100
23,3_ROYAL,4.2011,89,3.8914,4.71837,BONUS_DEUCES,10100
24,2_PAIR,3.94275,390,3.33333,4.70588,BONUS_DEUCES,10100
25,1_PAIR,3.06693,2832,2.57143,3.73969,BONUS_DEUCES,10100
26,3_STR_FLUSH_CONN,2.35628,36,1.96854,2.69558,BONUS_DEUCES,10100
27,3_STR_FLUSH_GAP,2.03257,190,1.79847,2.43197,BONUS_DEUCES,10100
28,3_FLUSH,1.71129,18,1.6449,1.78635,BONUS_DEUCES,10100
29,2_ROYAL,1.681,760,1.47227,1.94502,BONUS_DEUCES,10100
30,JUNK_LOW,1.50757,450,1.38934,26.80851,BONUS_DEUCES,10100
31,JUNK_HIGH_CARDS,1.45648,255,1.42312,1.51791,BONUS_DEUCES,10100
32,DISCARD_ALL,1.43229,1167,1.36343,1.49891,BONUS_DEUCES,10100
