Rank,Category Label,Avg EV,Samples,Min EV,Max EV,Variant,Total_Cumulative_Samples
1,NATURAL_ROYAL,4000.0,2,4000.0,4000.0,BONUS_DEUCES_10_4,612
2,4_DEUCES_ACE,2000.0,2,2000.0,2000.0,BONUS_DEUCES_10_4,612
3,4_DEUCES,1085.10638,2,1085.10638,1085.10638,BONUS_DEUCES_10_4,612
4,FIVE_ACES,400.0,2,400.0,400.0,BONUS_DEUCES_10_4,612
5,FIVE_3_4_5,200.0,2,200.0,200.0,BONUS_DEUCES_10_4,612
6,WILD_ROYAL,125.0,2,125.0,125.0,BONUS_DEUCES_10_4,612
7,FIVE_6_TO_K,100.0,2,100.0,100.0,BONUS_DEUCES_10_4,612
8,4_ROYAL,98.29787,2,98.29787,98.29787,BONUS_DEUCES_10_4,612
9,3_DEUCES,80.02775,2,80.02775,80.02775,BONUS_DEUCES_10_4,612
10,JUNK_LOW,35.31915,2,35.31915,35.31915,BONUS_DEUCES_10_4,612
11,2_DEUCES,19.13482,24,15.4058,35.31915,BONUS_DEUCES_10_4,612
12,1_DEUCE_3_ROYAL,18.03191,2,17.87234,18.19149,BONUS_DEUCES_10_4,612
13,PAT_FLUSH_OR_STR_FLUSH,15.0,5,15.0,15.0,BONUS_DEUCES_10_4,612
14,3_ACES,12.12303,1,12.12303,12.12303,BONUS_DEUCES_10_4,612
15,1_DEUCE_3_SF_CONN,11.17021,2,11.17021,11.17021,BONUS_DEUCES_10_4,612
16,3_KIND,10.35417,70,9.34783,35.31915,BONUS_DEUCES_10_4,612
17,3_3_4_5,10.2729,2,10.2729,10.2729,BONUS_DEUCES_10_4,612
18,1_DEUCE_3_SF_GAP,9.41489,4,9.14894,10.21277,BONUS_DEUCES_10_4,612
19,4_STR_FLUSH_GAP,7.87234,1,7.87234,7.87234,BONUS_DEUCES_10_4,612
20,PAT_STRAIGHT_OR_FULL_HOUSE,7.5,12,5.0,15.0,BONUS_DEUCES_10_4,612
21,3_ROYAL,6.7638,6,6.3876,7.12766,BONUS_DEUCES_10_4,612
22,1_DEUCE_2_ROYAL,5.33399,24,4.88899,5.94357,BONUS_DEUCES_10_4,612
23,1_DEUCE_3_FLUSH,5.24316,7,4.78723,7.97872,BONUS_DEUCES_10_4,612
24,1_DEUCE_2_SF_CONN,4.84621,4,4.78723,4.90287,BONUS_DEUCES_10_4,612
25,1_DEUCE_GENERIC,4.73467,66,4.68845,4.77246,BONUS_DEUCES_10_4,612
26,4_FLUSH,3.82979,6,3.82979,3.82979,BONUS_DEUCES_10_4,612
27,1_PAIR,2.71218,200,2.64231,3.01788,BONUS_DEUCES_10_4,612
28,3_STR_FLUSH_GAP,2.00277,10,1.91952,2.24329,BONUS_DEUCES_10_4,612
29,3_FLUSH,1.66975,1,1.66975,1.66975,BONUS_DEUCES_10_4,612
30,2_ROYAL,1.54476,37,1.46438,1.7086,BONUS_DEUCES_10_4,612
31,DISCARD_ALL,1.47131,120,1.4555,1.4892,BONUS_DEUCES_10_4,612
